SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,TotalAmount,PaymentMode
S1001,05-01-2025,C001,P101,1,65000,65000,Credit Card
S1002,08-01-2025,C002,P105,2,900,1800,UPI
S1003,10-01-2025,C003,P102,1,30000,30000,Debit Card
S1004,12-01-2025,C004,P104,3,1800,5400,Cash
S1005,15-01-2025,C005,P106,2,15000,30000,UPI
S1006,18-01-2025,C006,P103,1,4500,4500,Credit Card
S1007,20-01-2025,C007,P109,2,3500,7000,Net Banking
S1008,22-01-2025,C008,P108,1,22000,22000,UPI
S1009,25-01-2025,C009,P110,2,8500,17000,Debit Card
S1010,28-01-2025,C010,P107,1,12000,12000,Credit Card
